id,title,company,location,description,url,source,postDate,collectionDate,salaryRange,jobType,experienceLevel,tags
google-1,Software Engineer III,Google,Tel Aviv Israel,"Design and develop scalable software solutions for Google's core products. Work with cutting-edge technologies and collaborate with world-class engineers.",https://careers.google.com/jobs/results/123456789,Google,2025-01-30T09:00:00Z,2025-02-01T08:00:00Z,20000 - 30000 ILS,Full-time,Mid,"Java; Python; Go; Distributed Systems; Cloud"
google-2,Senior Site Reliability Engineer,Google,Tel Aviv Israel,"Ensure the reliability and scalability of Google's services. Build automation tools and monitor system performance.",https://careers.google.com/jobs/results/234567890,Google,2025-01-29T14:30:00Z,2025-02-01T08:00:00Z,25000 - 35000 ILS,Full-time,Senior,"Linux; Kubernetes; Python; Monitoring; DevOps"
google-3,Product Manager - AI,Google,Tel Aviv Israel,"Lead product strategy for AI-powered features. Work with engineering and design teams to bring innovative products to market.",https://careers.google.com/jobs/results/345678901,Google,2025-01-31T11:15:00Z,2025-02-01T08:00:00Z,22000 - 32000 ILS,Full-time,Senior,"Product Management; AI; Machine Learning; Strategy"
google-4,UX Designer,Google,Tel Aviv Israel,"Create intuitive and delightful user experiences for Google products. Collaborate with cross-functional teams to solve complex design challenges.",https://careers.google.com/jobs/results/456789012,Google,2025-01-28T16:45:00Z,2025-02-01T08:00:00Z,18000 - 26000 ILS,Full-time,Mid,"Design; Figma; User Research; Prototyping; UX"
google-5,Data Scientist,Google,Haifa Israel,"Apply machine learning and statistical analysis to solve complex business problems. Work with large-scale datasets and advanced analytics.",https://careers.google.com/jobs/results/567890123,Google,2025-01-30T13:20:00Z,2025-02-01T08:00:00Z,19000 - 28000 ILS,Full-time,Mid,"Python; SQL; Machine Learning; Statistics; TensorFlow"
gong-1,Full Stack Engineer,Gong,Tel Aviv Israel,"Build and maintain our revenue intelligence platform. Work with React, Node.js, and modern web technologies to deliver exceptional user experiences.",https://www.gong.io/careers/full-stack-engineer,Other,2025-01-29T10:30:00Z,2025-02-01T08:00:00Z,16000 - 24000 ILS,Full-time,Mid,"React; Node.js; TypeScript; AWS; PostgreSQL"
gong-2,Senior Backend Engineer,Gong,Tel Aviv Israel,"Design and implement scalable backend systems for our conversation analytics platform. Lead technical initiatives and mentor junior developers.",https://www.gong.io/careers/senior-backend-engineer,Other,2025-01-31T15:00:00Z,2025-02-01T08:00:00Z,20000 - 28000 ILS,Full-time,Senior,"Java; Spring; Microservices; Kafka; Redis"
gong-3,DevOps Engineer,Gong,Tel Aviv Israel,"Manage our cloud infrastructure and CI/CD pipelines. Ensure high availability and scalability of our SaaS platform.",https://www.gong.io/careers/devops-engineer,Other,2025-01-30T12:45:00Z,2025-02-01T08:00:00Z,17000 - 25000 ILS,Full-time,Mid,"AWS; Kubernetes; Docker; Terraform; Jenkins"
gong-4,Data Engineer,Gong,Tel Aviv Israel,"Build and maintain data pipelines for our conversation intelligence platform. Work with big data technologies and real-time processing.",https://www.gong.io/careers/data-engineer,Other,2025-01-28T09:15:00Z,2025-02-01T08:00:00Z,18000 - 26000 ILS,Full-time,Mid,"Python; Spark; Kafka; Airflow; Snowflake"
gong-5,Junior Frontend Developer,Gong,Tel Aviv Israel,"Join our frontend team to build intuitive user interfaces. Great opportunity for new graduates to work with modern React applications.",https://www.gong.io/careers/junior-frontend-developer,Other,2025-01-29T14:20:00Z,2025-02-01T08:00:00Z,12000 - 18000 ILS,Full-time,Entry,"React; JavaScript; CSS; HTML; Git"
nvidia-1,AI Software Engineer,NVIDIA,Tel Aviv Israel,"Develop AI and machine learning software for NVIDIA's GPU platforms. Work on cutting-edge deep learning frameworks and tools.",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/123,Other,2025-01-30T08:30:00Z,2025-02-01T08:00:00Z,22000 - 32000 ILS,Full-time,Senior,"CUDA; Python; C++; Deep Learning; PyTorch"
nvidia-2,Graphics Software Engineer,NVIDIA,Tel Aviv Israel,"Develop graphics drivers and software for NVIDIA GPUs. Work on performance optimization and new graphics features.",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/234,Other,2025-01-29T11:00:00Z,2025-02-01T08:00:00Z,20000 - 29000 ILS,Full-time,Mid,"C++; OpenGL; Vulkan; DirectX; Graphics Programming"
nvidia-3,Machine Learning Researcher,NVIDIA,Tel Aviv Israel,"Conduct research in computer vision and deep learning. Publish papers and develop novel algorithms for autonomous systems.",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/345,Other,2025-01-31T14:15:00Z,2025-02-01T08:00:00Z,25000 - 38000 ILS,Full-time,Senior,"Deep Learning; Computer Vision; Research; Python; CUDA"
nvidia-4,Systems Software Engineer,NVIDIA,Tel Aviv Israel,"Develop system-level software for NVIDIA's data center products. Work on performance optimization and hardware-software integration.",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/456,Other,2025-01-28T13:45:00Z,2025-02-01T08:00:00Z,19000 - 27000 ILS,Full-time,Mid,"C; C++; Linux; Kernel; Performance Optimization"
nvidia-5,DevOps Engineer - AI Infrastructure,NVIDIA,Tel Aviv Israel,"Build and maintain infrastructure for AI model training and deployment. Work with large-scale distributed systems and cloud platforms.",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/567,Other,2025-01-30T16:30:00Z,2025-02-01T08:00:00Z,18000 - 26000 ILS,Full-time,Mid,"Kubernetes; Docker; Python; MLOps; Cloud Platforms"
mobileye-1,Computer Vision Engineer,Mobileye,Jerusalem Israel,"Develop computer vision algorithms for autonomous driving systems. Work on object detection, tracking, and scene understanding.",https://www.mobileye.com/careers/computer-vision-engineer,Other,2025-01-29T10:00:00Z,2025-02-01T08:00:00Z,21000 - 30000 ILS,Full-time,Senior,"Computer Vision; OpenCV; C++; Machine Learning; Autonomous Driving"
mobileye-2,Embedded Software Engineer,Mobileye,Jerusalem Israel,"Develop embedded software for automotive vision systems. Work with real-time systems and hardware optimization.",https://www.mobileye.com/careers/embedded-software-engineer,Other,2025-01-31T09:30:00Z,2025-02-01T08:00:00Z,18000 - 26000 ILS,Full-time,Mid,"C; C++; Embedded Systems; Real-time; Automotive"
mobileye-3,Algorithm Engineer - ADAS,Mobileye,Jerusalem Israel,"Design and implement algorithms for Advanced Driver Assistance Systems. Focus on sensor fusion and decision making.",https://www.mobileye.com/careers/algorithm-engineer-adas,Other,2025-01-30T15:20:00Z,2025-02-01T08:00:00Z,20000 - 28000 ILS,Full-time,Senior,"Algorithms; MATLAB; Python; Signal Processing; ADAS"
mobileye-4,Software Engineer - Mapping,Mobileye,Jerusalem Israel,"Develop high-definition mapping solutions for autonomous vehicles. Work with large-scale data processing and 3D reconstruction.",https://www.mobileye.com/careers/software-engineer-mapping,Other,2025-01-28T12:10:00Z,2025-02-01T08:00:00Z,17000 - 25000 ILS,Full-time,Mid,"C++; Python; 3D Geometry; Mapping; Data Processing"
mobileye-5,Junior Machine Learning Engineer,Mobileye,Jerusalem Israel,"Entry-level position for ML enthusiasts. Work on perception algorithms for autonomous driving under senior engineer mentorship.",https://www.mobileye.com/careers/junior-ml-engineer,Other,2025-01-31T11:45:00Z,2025-02-01T08:00:00Z,13000 - 19000 ILS,Full-time,Entry,"Python; Machine Learning; Computer Vision; TensorFlow; Entry Level"
